265,460,1,1993
1140,306,1,1994
1767,1082,1,1983
2635,1043,2,1968
2213,407,1,1989
3739,862,1,1964
2488,441,1,1978
1195,894,1,1992
238,1094,2,1989
1017,153,1,1973
109,580,1,1973
117,965,1,1972
546,150,1,1986
1844,959,1,1973
217,280,1,1989
727,652,1,1959
1138,483,1,1987
2931,290,1,1992
2970,903,2,1992
998,203,1,1990
1818,271,2,1970
2489,694,1,1984
2480,126,1,1985
2162,110,1,1976
4292,473,1,1949
2663,209,1,1989
3729,720,1,1966
2417,468,1,1979
1656,295,1,1986
641,450,1,1982
3014,93,1,1993
1048,469,1,1988
1240,295,1,1993
1071,333,1,1981
560,557,2,1990
1940,593,2,1990
873,189,1,1993
2805,602,1,1979
2214,586,2,1968
697,300,1,1988
1767,740,1,1987
156,718,1,1990
1538,731,1,1982
217,253,1,1989
3596,889,1,1993
3030,1528,1,1962
2614,577,2,1949
2834,562,1,1968
1844,1152,1,1973
2698,236,1,1969
1140,1184,1,1987
4375,299,2,1985
2041,302,1,1984
838,896,1,1972
1104,157,2,1991
873,193,1,1993
109,315,1,1968
851,212,2,1991
2126,360,2,1990
3937,312,1,1984
647,855,1,1990
4292,1017,1,1949
585,1294,1,1960
652,842,1,1992
2704,374,1,1990
2826,569,1,1966
1869,389,2,1948
1581,410,2,1988
1328,589,1,1988
1850,280,1,1989
1798,447,1,1984
365,484,1,1995
1920,569,1,1988
2270,635,1,1969
4630,587,2,1987
1138,124,1,1993
1818,768,2,1970
512,449,1,1988
3597,387,1,1986
1258,595,1,1984
1328,162,1,1988
1962,187,2,1962
2726,228,1,1980
1939,2403,1,1966
798,1143,1,1994
904,359,1,1982
2785,1589,1,1988
4666,1291,1,1982
3633,323,1,1985
1539,278,1,1961
1673,443,1,1989
2698,439,1,1989
2706,329,1,1972
974,659,1,1979
1032,406,1,1991
1503,270,1,1982
2140,188,1,1980
1133,1853,2,1977
322,250,1,1988
223,853,1,1965
2384,896,2,1958
1962,182,1,1969
694,1144,2,1962
3751,841,1,1979
2279,921,1,1968
1328,523,1,1988
2126,259,2,1992
448,242,1,1979
1496,638,2,1972
3030,928,1,1962
3776,537,1,1989
2878,518,1,1991
754,1522,2,1990
2667,391,1,1984
